x: 357.1270347028766  y: 387.0554648399586  
x: 55.360862195104055  y: 126.87215694530849  
x: 715.7299594319492  y: 232.2126545139602  
x: 724.2115327979626  y: 114.67293829970693  
x: 313.7084065314321  y: 717.711603067684  
x: 58.84962597529997  y: 360.1626426146005  
x: 575.9179727340522  y: 643.0782321195549  
x: 781.0294556718754  y: 498.0266287576721  
x: 259.68971353738937  y: 654.9700760704482  
x: 300.85242295257217  y: 207.84791051108078  
x: 748.6045939070071  y: 755.9896424098478  
x: 424.60388821831845  y: 199.48315613362757  
x: 274.3928371394607  y: 66.62293877531127  
x: 590.7150756923362  y: 51.563571554165044  
x: 666.9584162642244  y: 40.30294622805588  
x: 633.8500399790388  y: 503.12099502179865  
x: 632.5284436054959  y: 331.5980923888462  
x: 677.117521842109  y: 198.3388396245445  
x: 759.9275121480572  y: 517.5257303946481  
x: 152.40788989708412  y: 84.4280088461991  
x: 654.9772330862355  y: 71.99058195279733  
x: 348.85505496962344  y: 662.6279341730321  
x: 603.0205582839164  y: 193.3482577415078  
x: 489.42337500085233  y: 492.33253805497526  
x: 159.57122739208236  y: 685.0937538288239  
x: 535.6195803021034  y: 348.3412116282737  
x: 469.0881786913385  y: 289.67484662397806  
x: 720.3296655148768  y: 631.2347535554197  
x: 311.87496538267425  y: 75.43065458205547  
x: 608.7808257620558  y: 430.87645475676834  
x: 679.1041594450685  y: 676.65502691549  
x: 487.6283952671274  y: 243.03789391992706  
x: 675.9667967041202  y: 186.7851229007262  
x: 682.1676751925836  y: 739.1501292403344  
x: 352.946714100089  y: 304.7147943498537  
x: 1.6709666021178293  y: 389.1794698093956  
x: 465.22008313903785  y: 334.23314675647885  
x: 112.84936151178488  y: 337.62863131287776  
x: 360.17972825502574  y: 236.587939369356  
x: 241.43973906495592  y: 132.66256674429283  
x: 793.0845459879699  y: 336.174080493753  
x: 201.91667476831228  y: 708.3595383773938  
x: 70.83397133299644  y: 479.3471643763688  
x: 155.32931643305704  y: 620.0870435675924  
x: 723.8673899333828  y: 646.3618768203349  
x: 695.2633162283116  y: 333.00283876134273  
x: 706.1884424729124  y: 216.43550198841393  
x: 461.9277771234459  y: 563.6808411763039  
x: 723.5146206187613  y: 285.9363694618554  
x: 484.36707662865973  y: 674.8622002150437  
